query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
國王湖,False,643,【中文團】德國慕尼黑往返丨國王湖&聖巴多羅買禮拜堂+魔法森林一日遊,23420,76,38.54,德國｜國王湖＆魔法森林一日遊｜慕尼黑出發,8894,19,28.37
追風,False,636,追風奇幻島門票,569514,44,82.07,,,,
X park,False,633,桃園Xpark水族館門票,101517,65,86.89,,,,
迪士尼海洋,False,628,東京迪士尼樂園 & 東京迪士尼海洋門票,19252,6,78.49,,,,
羚羊谷,False,621,美國下羚羊峽谷&馬蹄灣一日遊 (含午餐) | 拉斯維加斯出發｜87 折特惠,139770,73,41.11,【限時75折】羚羊谷（黃金時段入口）、馬蹄灣和鮑威爾湖，含飯店接送服務 | 拉斯維加斯 | 美國,579469,67,32.65
山陽新幹線,False,618,山陽新幹線單程車票,144768,93,78.98,,,,
花火大會,False,613,熱海花火大會＆鎌倉一日遊&箱根一日遊（可選乘船觀賞）｜東京新宿出發,163325,34,18.95,,,,
HARUKA,False,600,關西機場特快 HARUKA 車票,18940,86,76.99,阿倍野展望台門票 HARUKAS 300,19513,14,3.83
科博館,False,599,台中科博館｜國立自然科學博物館門票,115117,8,68.05,,,,
蘭陽動植物,False,595,宜蘭蘭陽動植物王国門票,173190,71,82.59,,,,
即享券,False,590,台灣｜王品集團電子即享券｜王品牛排．陶板屋．西堤牛排．夏慕尼．Oh my!原燒．藝奇．聚．品田牧場,134810,5,8.96,,,,
Xpa,False,590,桃園Xpark水族館門票,101517,17,92.31,,,,
陸龍灣,False,589,寧平一日遊｜長安陸龍灣遊船 · 白亭 - 古都華閩 - 長安名勝群 - 三谷 - 杭麻（多語導遊及多種行程選擇）｜從越南河內 / 寧平出發,141800,8,35.71,,,,
Esi,False,585,【超人氣熱銷 50% OFF】中港澳5G/4G eSIM｜每日流量/總量/無限流量 eSIM｜免翻牆使用｜支援ChatGPT,135627,3,100.0,,,,
海生,False,576,夜宿屏東海生館體驗｜標準行程・季節套裝行程,1894,191,25.64,屏東海生館｜國立海洋生物館門票,9468,27,70.1
自由行,False,569,樂桃航空・桃園出發｜沖繩機加酒自由行 4 日・自選市區飯店｜1 人成行・早去晚回( MM922＋MM929),140939,258,7.14,,,,
安平,False,568,台南安平運河遊船｜KKday 獨享市場最低價船票・遊船導覽,129253,22,47.56,,,,
相撲,False,565,觀看東京大相撲錦標賽決賽日的比賽並參加閉幕式。,282309,86,25.0,【東京｜SUMOLAND TOKYO RYOGOKU】 東京 兩國：相撲體驗＆雞肉火鍋＆搗麻糬體驗全套行程,285179,36,13.04
名古屋城,False,562,【KKday獨家販售】日本名古屋往返一日遊｜長島三井Oulet Park &長島溫泉&名花之里燈海 （6人成團）,156807,21,1.08,【含1人成團方案|  日本岐阜縣一日遊】犬山城＆恵那峽＆米其林一星『馬籠宿&妻籠宿』｜名古屋往返,177762,10,0.92
六福,False,557,六福村主題遊樂園門票,6370,34,54.76,【國旅卡適用】台北六福萬怡酒店｜敘日全日餐廳｜自助餐,28828,15,22.22
定山溪,False,555,日本北海道｜定山溪森之歌溫泉一日遊套票（含自助午餐＋接送巴士）,24191,1,38.52,,,,
岩盤浴,False,554,福湯岩盤浴 台中新時代館,268051,28,38.93,福湯岩盤浴 新竹湳雅館,119325,14,48.45
熊野古道,False,547,『關西小眾秘境一日遊』熊野古道熊野三山一日巡遊 大阪出發,533821,88,36.36,,,,
格蘭島,False,547,芭達雅珊瑚島一日遊｜水上活動、無人機照片和海灘酒吧,8185,57,26.83,【泰國】珊瑚島海灘俱樂部和極限活動半日遊｜芭達雅,133641,22,30.91
蘇澳,False,546,蘇澳｜蘇澳冷泉公園｜雙人湯屋．大眾湯．桑拿湯屋,183840,4,23.29,宜蘭蘇澳計程車博物館門票,33022,2,7.02
Arte,False,546,釜山藝術博物館優惠門票,184194,38,68.75,,,,
綠,False,543,新竹綠世界生態農場門票,101863,3,20.0,,,,
首里城,False,541,沖繩單軌電車一日券,151513,1,1.49,,,,
x park,False,540,桃園Xpark水族館門票,101517,8,51.55,,,,
家樂福,False,539,即買即用｜台灣｜家樂福電子禮券,142937,73,73.59,,,,
馬來,False,537,【50% OFF】東南亞五國 eSIM｜5G/4G無限流量 ｜新加坡、馬來西亞、泰國、印尼、越南｜支援ChatGPT,526481,1,0.0,【50% OFF】馬來西亞 eSIM | Celcom / Digi,128353,1,80.0
賞櫻,False,535,北海道神威岬・小樽余市一日遊｜札幌出發,576596,5,50.0,,,,
史努比,False,534,東京史努比博物館門票,251519,18,51.25,韓國濟州島｜史努比花園門票 Snoopy Garden,106150,5,39.02
名鐵,False,530,大阪關西機場 KIX 南海電鐵機場快線 Rapi:t 電子車票,19691,2,0.0,日本中部國際機場 NGO ⇆ 名古屋站｜名鐵機場特急列車 電子車票,20418,1,63.53
