query,prod_nm,prod_mid,profit,ctr,profit_rank
大阪環球影城,日本環球影城門票 Universal Studios Japan,2247,1122,38.74,1
大阪環球影城,日本環球影城 VIP 體驗私人行程｜日本大阪,151948,647,30.23,2
大阪環球影城,日本環球影城門票 & 快速通關券 USJ,18618,577,50.11,3
大阪環球影城,日本環球影城門票｜優惠組合,574779,192,32.58,4
大阪環球影城,【專屬包車接送】大阪-環球城港/京都/奈良/神戶/名古屋/東京等地區單程接送,134740,33,2.54,5
大阪環球影城,關西機場特快 HARUKA 車票,18940,3,2.19,6
大阪環球影城,豪華版關西樂享周遊券（可選日本環球影城1日券）,528208,0,8.98,7
大阪環球影城,大阪市內/關西機場 ⇔大阪熱門影視主題樂園-環球城港以及大阪市內點對點（20KM）單程私人接送服務|大阪出發,536220,0,7.74,8
大阪環球影城,日本大阪道頓堀/心齋橋出發｜日本環球影城 Universal Studios Japan 直達巴士｜即訂即出,22509,0,5.99,9
大阪環球影城,大阪海遊館門票 Osaka Aquarium Kaiyukan,4849,0,1.91,10
天橋立,【1人成團】日本京都天橋立一日遊｜伊根灣遊船・伊根舟屋/美山茅草屋之里｜伊根灣遊船・可選鮑魚或半蟹海鮮鍋｜大阪難波／京都出發,155289,3136,42.15,1
天橋立,日本天橋立一日遊｜京都伊根舟屋＆伊根灣遊船｜可選含纜車＆遊船設施門票（大阪/京都出發）,25439,1358,34.77,2
天橋立,日本三景京都天橋立一日遊｜天橋立觀景台・智恩寺・伊根舟屋・伊根灣遊船｜可選含纜車與遊船票方案｜贈每人蝦條｜大阪/京都出發,145830,924,32.06,3
天橋立,【日本三景天橋立一日遊】京都丹後海上列車&天橋立纜車&伊根舟屋&伊根町一日遊 ｜大阪出發｜可選含票券,528649,632,26.03,4
天橋立,【一人成行京都出發】京都秘境一日遊｜美山合掌村、天橋立、伊根舟屋｜（將滿額請儘早訂購）,162588,219,25.02,5
天橋立,京都伊根天橋立經典一日遊｜伊根舟屋・INE CAFE・伊根灣遊船・智恩寺・迴旋橋｜可加購景點門票・中英文雙語導遊,269936,215,20.91,6
天橋立,【天橋立絕景一日遊】天橋立 美山合掌村 螃蟹會席料理｜中文領隊同行（大阪難波/京都出發）,147488,128,14.84,7
天橋立,日本京都伊根舟屋・天橋立・美山合掌村一日遊｜大阪出發,535726,63,14.57,8
天橋立,大阪京都 丹後鐵道海上列車一日遊｜打卡天橋立與伊根舟屋遊船體驗,286974,55,16.29,9
天橋立,日本｜大阪｜京都｜包車一日遊｜大阪/京都往返｜客製化行程,554512,53,4.13,10
