query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
迪士尼海洋,False,606,東京迪士尼樂園 & 東京迪士尼海洋門票,19252,20,75.09,東京市內/成田機場/羽田機場⇔東京迪士尼樂園/迪士尼海洋(Tokyo Disneyland/Disneysea) 私人接送服務|東京出發,536139.0,0.0,4.29
首里城,False,596,沖繩單軌電車一日券,151513,1,1.42,日本沖繩雙層露天觀光巴士體驗｜首里城・美國村・希臘風瀨長島｜那霸出發,124353.0,0.0,8.5
滋賀,False,593,滋賀琵琶湖一日遊｜白須神社・觀景台or三千院・滿月寺 浮禦堂・近江八幡｜可選大阪或京都上下車,196165,37,44.32,JR關西地區鐵路周遊券,25777.0,0.0,1.39
小倉,True,591,日本九州 Fun Pass｜任選組合套票｜kyushu funPass,266121,4,13.04,北九州文化美食一日遊｜門司港＆唐戸海鮮市場・小倉城・宮地岳神社/河內藤園/奧特萊斯｜博多站出發,174689.0,0.0,23.53
圓山,False,590,台北｜圓山大飯店｜松鶴餐廳｜自助餐,550484,2,40.0,圓山大飯店,304049.0,0.0,20.41
富士急,False,590,【官方】富士急樂園直達巴士 - 含一日通票/優先入園券 | 即時預訂確認【東京出發/東京抵達】,166492,55,44.03,日本富士急樂園門票,20133.0,40.0,47.9
山頂纜車,False,586,香港太平山頂纜車門票｜凌霄閣摩天台428入場門票,100640,15,81.1,紐西蘭皇后鎮天空纜車門票＆滑車體驗,22450.0,0.0,0.0
鄭王廟,False,585,泰國 | 曼谷市中心包車一日遊,4851,12,2.27,曼谷鄭王廟攝影之旅的泰國服飾體驗 |泰國,138442.0,4.0,16.93
安平,False,582,台南安平運河遊船｜KKday 獨享市場最低價船票・遊船導覽,129253,25,46.38,台南安平樹屋門票,104775.0,1.0,10.26
獨木舟,False,581,澎湖｜小門嶼獨木舟體驗｜日出半日遊,101352,13,0.0,澎湖秘境跳島 | 南方四島＆藍洞＆環遊七美島＆紫色薰衣草浮潛＆島上獨木舟｜持憑證享花枝丸買一送一,2375.0,0.0,7.04
破冰船,False,578,北海道破冰船二日遊｜紋別破冰船GARINKO&層雲峽溫泉冰瀑祭&雪上摩托車＆男山酒造＆旭山動物園｜札幌出發,151492,198,42.13,芬蘭極地探險號破冰船 Polar Explorer,18133.0,0.0,6.06
綠,False,573,新竹綠世界生態農場門票,101863,3,20.0,【1人成團】日本白川鄉合掌村一日遊｜可選直達展望台＋飛驒高山老街巡禮｜名古屋出發,526215.0,0.0,0.0
史努比,False,572,東京史努比博物館門票,251519,11,47.24,韓國濟州島｜史努比花園門票 Snoopy Garden,106150.0,4.0,42.5
吉卜,False,567,日本吉卜力公園門票（標準／高級大散步券）｜任搭一日遊或住宿套裝方案 © Studio Ghibli,139872,15,46.43,日本東京｜三鷹之森吉卜力美術館＆井之頭公園・漫步半日遊｜保證入園,21611.0,13.0,21.21
太平,False,560,嘉義太平雲梯門票,102359,3,12.5,海風號甜點觀光列車套票｜紀念車票＆特色餐點,261726.0,0.0,0.0
dmz,False,552,DMZ 非軍事區之旅｜共同警備區博物館、都羅展望台、第三隧道｜首爾出發,144143,63,35.88,KKday限定優惠中｜南北韓歷史之旅｜臨津閣公園、第三地道、都羅展望台 DMZ 半日遊,22739.0,7.0,28.77
家樂福,False,550,即買即用｜台灣｜家樂福電子禮券,142937,55,74.21,7天酒店蘇州相城大道中翔家樂福店,391480.0,0.0,0.0
騎馬,False,546,【如武林大俠騎馬入林】墾丁野外騎馬涉溪體驗,3597,23,20.0,宜蘭｜外澳小山丘馬場·山海騎乘體驗｜全程教練一對一陪同,287294.0,15.0,25.86
皿倉山,False,544,九州皿倉山纜車夜景一日遊｜關門大橋&唐戶市場&元乃隅神社&皿倉山纜車（福岡出發）,180965,141,44.92,【日本旅遊】九州閃亮亮～皿倉山夜景、自然動物園、三隈川屋形船、別府溫泉體驗五日,547805.0,0.0,4.21
Pass,False,542,釜山通行證 VISIT BUSAN PASS,138477,87,73.83,沖繩 Fun Pass｜美麗海水族館＋任選組合優惠套票｜Okinawa FunPass,285076.0,0.0,0.0
池上,False,538,【親子同樂】台東池上大坡池｜SUP立槳&獨木舟體驗,129643,4,10.94,【包車推薦】台東經典景點包車半日&一日遊｜台東海濱＆小野柳＆初鹿農場｜台東市區出發,35454.0,0.0,4.94
海生,False,538,夜宿屏東海生館體驗｜標準行程・季節套裝行程,1894,106,12.5,屏東海生館｜國立海洋生物館門票,9468.0,20.0,71.59
Xpa,False,537,桃園Xpark水族館門票,101517,10,90.91,加購高鐵票 75 折起｜Xpark、台北101觀景台等全台高鐵組合優惠｜高鐵國旅聯票,124693.0,0.0,7.14
花火節,False,535,澎湖花火限定活動｜SUP 體驗海上花火大會,144522,8,13.73,澎湖彩虹文旅頂樓賞煙火 | 花火節開幕式・閉幕式・連續假期,141229.0,0.0,27.17
纜車,False,533,釜山通行證 VISIT BUSAN PASS,138477,11,3.57,【東京富士山一日遊】河口湖・富岳風穴・鳴沢冰穴・忍野八海（保證有位）,12319.0,0.0,2.99
頑皮,False,533,台南頑皮世界野生動物園門票,100025,37,80.77,【限量場次】台南學甲｜頑皮世界野生動物園｜水豚互動體驗預約,123754.0,2.0,13.21
